Países;Quantidade (Kg);Valor (US$);Year;Category;Subcategory
Índia;-;-;1983;Importacao;Uvas_passas
Irã;-;-;1983;Importacao;Uvas_passas
Itália;-;-;1983;Importacao;Uvas_passas
Japão;-;-;1983;Importacao;Uvas_passas
México;1.485.417;1.944.974;1983;Importacao;Uvas_passas
Países Baixos;-;-;1983;Importacao;Uvas_passas
Paraguai;-;-;1983;Importacao;Uvas_passas
Peru;-;-;1983;Importacao;Uvas_passas
Portugal;-;-;1983;Importacao;Uvas_passas
Reino Unido;-;-;1983;Importacao;Uvas_passas
Suécia;-;-;1983;Importacao;Uvas_passas
Turquia;-;-;1983;Importacao;Uvas_passas
Uruguai;-;-;1983;Importacao;Uvas_passas
Uzbequistão;-;-;1983;Importacao;Uvas_passas
Venezuela;-;-;1983;Importacao;Uvas_passas
Não consta na tabela;-;-;1983;Importacao;Uvas_passas
Outros;-;-;1983;Importacao;Uvas_passas
Total;5.312.057;5.343.886;1983;Importacao;Uvas_passas
Africa do Sul;-;-;1983;Importacao;Suco_de_uva
Alemanha;-;-;1983;Importacao;Suco_de_uva
Argentina;-;-;1983;Importacao;Suco_de_uva
Austria;-;-;1983;Importacao;Suco_de_uva
Canadá;-;-;1983;Importacao;Suco_de_uva
Coreia do Sul, República;-;-;1983;Importacao;Suco_de_uva
Coreia do Norte, República;-;-;1983;Importacao;Suco_de_uva
Chile;-;-;1983;Importacao;Suco_de_uva
China;-;-;1983;Importacao;Suco_de_uva
Dinamarca;-;-;1983;Importacao;Suco_de_uva
Espanha;-;-;1983;Importacao;Suco_de_uva
Estados Unidos;-;-;1983;Importacao;Suco_de_uva
França;-;-;1983;Importacao;Suco_de_uva
Guiana;-;-;1983;Importacao;Suco_de_uva
Israel;-;-;1983;Importacao;Suco_de_uva
itália;-;-;1983;Importacao;Suco_de_uva
Japão;-;-;1983;Importacao;Suco_de_uva
Líbano;-;-;1983;Importacao;Suco_de_uva
México;-;-;1983;Importacao;Suco_de_uva
Países Baixos;-;-;1983;Importacao;Suco_de_uva
Panamá;-;-;1983;Importacao;Suco_de_uva
Peru;-;-;1983;Importacao;Suco_de_uva
Portugal;-;-;1983;Importacao;Suco_de_uva
Reino Unido;-;-;1983;Importacao;Suco_de_uva
Taiwan;-;-;1983;Importacao;Suco_de_uva
Turquia;-;-;1983;Importacao;Suco_de_uva
Uruguai;-;-;1983;Importacao;Suco_de_uva
Venezuela;-;-;1983;Importacao;Suco_de_uva
Outros;-;-;1983;Importacao;Suco_de_uva
Total;0;0;1983;Importacao;Suco_de_uva
Africa do Sul;-;-;1984;Importacao;Vinhos_de_Mesa
Alemanha;586.645;564.129;1984;Importacao;Vinhos_de_Mesa
Argélia;-;-;1984;Importacao;Vinhos_de_Mesa
Arábia Saudita;-;-;1984;Importacao;Vinhos_de_Mesa
Argentina;42.438;64.603;1984;Importacao;Vinhos_de_Mesa
Armênia;-;-;1984;Importacao;Vinhos_de_Mesa
Austrália;-;-;1984;Importacao;Vinhos_de_Mesa
Áustria;-;-;1984;Importacao;Vinhos_de_Mesa
Bermudas;-;-;1984;Importacao;Vinhos_de_Mesa
Bélgica;-;-;1984;Importacao;Vinhos_de_Mesa
Bolívia;-;-;1984;Importacao;Vinhos_de_Mesa
Bósnia-Herzegovina;-;-;1984;Importacao;Vinhos_de_Mesa
Brasil;-;-;1984;Importacao;Vinhos_de_Mesa
Bulgária;-;-;1984;Importacao;Vinhos_de_Mesa
Canada;-;-;1984;Importacao;Vinhos_de_Mesa
Chile;490.217;527.176;1984;Importacao;Vinhos_de_Mesa
China;-;-;1984;Importacao;Vinhos_de_Mesa
Coreia do Sul, República;-;-;1984;Importacao;Vinhos_de_Mesa
Croácia;-;-;1984;Importacao;Vinhos_de_Mesa
Cuba;-;-;1984;Importacao;Vinhos_de_Mesa
Emirados Árabes Unidos;-;-;1984;Importacao;Vinhos_de_Mesa
Eslovênia;-;-;1984;Importacao;Vinhos_de_Mesa
Eslováquia;-;-;1984;Importacao;Vinhos_de_Mesa
Espanha;7.200;8.421;1984;Importacao;Vinhos_de_Mesa
Estados Unidos;-;-;1984;Importacao;Vinhos_de_Mesa
França;117.087;138.156;1984;Importacao;Vinhos_de_Mesa
Geórgia;-;-;1984;Importacao;Vinhos_de_Mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1984;Importacao;Vinhos_de_Mesa
Grécia;-;-;1984;Importacao;Vinhos_de_Mesa
Hong Kong;-;-;1984;Importacao;Vinhos_de_Mesa
Hungria;-;-;1984;Importacao;Vinhos_de_Mesa
Indonésia;-;-;1984;Importacao;Vinhos_de_Mesa
Irlanda;-;-;1984;Importacao;Vinhos_de_Mesa
Israel;-;-;1984;Importacao;Vinhos_de_Mesa
Itália;132.321;141.201;1984;Importacao;Vinhos_de_Mesa
Japão;-;-;1984;Importacao;Vinhos_de_Mesa
Iugoslávia;-;-;1984;Importacao;Vinhos_de_Mesa
Líbano;-;-;1984;Importacao;Vinhos_de_Mesa
Luxemburgo;-;-;1984;Importacao;Vinhos_de_Mesa
Macedônia;-;-;1984;Importacao;Vinhos_de_Mesa
Marrocos;-;-;1984;Importacao;Vinhos_de_Mesa
México;-;-;1984;Importacao;Vinhos_de_Mesa
Moldávia;-;-;1984;Importacao;Vinhos_de_Mesa
Montenegro;-;-;1984;Importacao;Vinhos_de_Mesa
Noruega;-;-;1984;Importacao;Vinhos_de_Mesa
Nova Zelândia;-;-;1984;Importacao;Vinhos_de_Mesa
Países Baixos (Holanda);-;-;1984;Importacao;Vinhos_de_Mesa
Panamá;-;-;1984;Importacao;Vinhos_de_Mesa
Peru;-;-;1984;Importacao;Vinhos_de_Mesa
Porto Rico;-;-;1984;Importacao;Vinhos_de_Mesa
Portugal;536.706;531.515;1984;Importacao;Vinhos_de_Mesa
Reino Unido;-;-;1984;Importacao;Vinhos_de_Mesa
Republica Dominicana;-;-;1984;Importacao;Vinhos_de_Mesa
Romênia;-;-;1984;Importacao;Vinhos_de_Mesa
Rússia;-;-;1984;Importacao;Vinhos_de_Mesa
San Marino;-;-;1984;Importacao;Vinhos_de_Mesa
Sérvia;-;-;1984;Importacao;Vinhos_de_Mesa
Síria;-;-;1984;Importacao;Vinhos_de_Mesa
Suazilândia;-;-;1984;Importacao;Vinhos_de_Mesa
Suíça;-;-;1984;Importacao;Vinhos_de_Mesa
Tcheca, República;-;-;1984;Importacao;Vinhos_de_Mesa
Tunísia;-;-;1984;Importacao;Vinhos_de_Mesa
Turquia;-;-;1984;Importacao;Vinhos_de_Mesa
Ucrânia;-;-;1984;Importacao;Vinhos_de_Mesa
Uruguai;-;-;1984;Importacao;Vinhos_de_Mesa
Não consta na tabela;-;-;1984;Importacao;Vinhos_de_Mesa
Não declarados;-;-;1984;Importacao;Vinhos_de_Mesa
Outros;26.490;34.499;1984;Importacao;Vinhos_de_Mesa
Total;1.939.104;2.009.700;1984;Importacao;Vinhos_de_Mesa
Africa do Sul;-;-;1984;Importacao;Espumantes
Alemanha;3.360;3.130;1984;Importacao;Espumantes
Argentina;-;-;1984;Importacao;Espumantes
Austrália;-;-;1984;Importacao;Espumantes
Áustria;-;-;1984;Importacao;Espumantes
Bermudas;-;-;1984;Importacao;Espumantes
Bahamas;-;-;1984;Importacao;Espumantes
Bélgica;-;-;1984;Importacao;Espumantes
Brasil;-;-;1984;Importacao;Espumantes
Bulgária;-;-;1984;Importacao;Espumantes
Canada;-;-;1984;Importacao;Espumantes
Chile;4.200;5.500;1984;Importacao;Espumantes
Croácia;-;-;1984;Importacao;Espumantes
Cuba;-;-;1984;Importacao;Espumantes
Emirados Árabes Unidos;-;-;1984;Importacao;Espumantes
Eslovênia;-;-;1984;Importacao;Espumantes
Espanha;12.824;13.110;1984;Importacao;Espumantes
Estados Unidos;-;-;1984;Importacao;Espumantes
França;11.308;37.594;1984;Importacao;Espumantes
Geórgia;-;-;1984;Importacao;Espumantes
Granada;-;-;1984;Importacao;Espumantes
Grécia;-;-;1984;Importacao;Espumantes
Hong Kong;-;-;1984;Importacao;Espumantes
Hungria;-;-;1984;Importacao;Espumantes
Indonésia;-;-;1984;Importacao;Espumantes
Irlanda;-;-;1984;Importacao;Espumantes
Israel;720;1.880;1984;Importacao;Espumantes
Itália;2.430;1.917;1984;Importacao;Espumantes
Luxemburgo;-;-;1984;Importacao;Espumantes
México;4.158;6.060;1984;Importacao;Espumantes
Moldávia;-;-;1984;Importacao;Espumantes
Nova Zelândia;-;-;1984;Importacao;Espumantes
Países Baixos;-;-;1984;Importacao;Espumantes
Panamá;-;-;1984;Importacao;Espumantes
Peru;-;-;1984;Importacao;Espumantes
Portugal;126.855;136.371;1984;Importacao;Espumantes
Reino Unido;-;-;1984;Importacao;Espumantes
Romênia;-;-;1984;Importacao;Espumantes
Suíça;-;-;1984;Importacao;Espumantes
Tunísia;-;-;1984;Importacao;Espumantes
Ucrânia;-;-;1984;Importacao;Espumantes
Uruguai;-;-;1984;Importacao;Espumantes
Não consta na tabela;-;-;1984;Importacao;Espumantes
Não declarados;-;-;1984;Importacao;Espumantes
Outros;1.080;7.152;1984;Importacao;Espumantes
Total;166.935;212.714;1984;Importacao;Espumantes
Argélia;-;-;1984;Importacao;Uvas_Frescas
Argentina;251.900;146.965;1984;Importacao;Uvas_Frescas
Brasil;-;-;1984;Importacao;Uvas_Frescas
Chile;880.497;695.522;1984;Importacao;Uvas_Frescas
Colômbia;4.500;5.400;1984;Importacao;Uvas_Frescas
Egito;-;-;1984;Importacao;Uvas_Frescas
Espanha;60.000;24.000;1984;Importacao;Uvas_Frescas
Estados Unidos;6.490;10.060;1984;Importacao;Uvas_Frescas
Grécia;-;-;1984;Importacao;Uvas_Frescas
Itália;-;-;1984;Importacao;Uvas_Frescas
México;-;-;1984;Importacao;Uvas_Frescas
Peru;-;-;1984;Importacao;Uvas_Frescas
Paraguai;-;-;1984;Importacao;Uvas_Frescas
Portugal;-;-;1984;Importacao;Uvas_Frescas
Panamá;-;-;1984;Importacao;Uvas_Frescas
Reino Unido;-;-;1984;Importacao;Uvas_Frescas
Uruguai;-;-;1984;Importacao;Uvas_Frescas
Venezuela;-;-;1984;Importacao;Uvas_Frescas
Não consta na tabela;-;-;1984;Importacao;Uvas_Frescas
Outros;-;-;1984;Importacao;Uvas_Frescas
Total;1.203.387;881.947;1984;Importacao;Uvas_Frescas
Afeganistão;-;-;1984;Importacao;Uvas_passas
África do Sul;-;-;1984;Importacao;Uvas_passas
Alemanha, República Democrática;-;-;1984;Importacao;Uvas_passas
Arábia Saudita;-;-;1984;Importacao;Uvas_passas
Argentina;1.662.475;1.626.556;1984;Importacao;Uvas_passas
Austrália;-;-;1984;Importacao;Uvas_passas
Bélgica;-;-;1984;Importacao;Uvas_passas
Chile;1.100.570;1.051.746;1984;Importacao;Uvas_passas
China;-;-;1984;Importacao;Uvas_passas
China Continental;-;-;1984;Importacao;Uvas_passas
Cingapura;-;-;1984;Importacao;Uvas_passas
Costa Rica;-;-;1984;Importacao;Uvas_passas
Emirados;-;-;1984;Importacao;Uvas_passas
Espanha;-;-;1984;Importacao;Uvas_passas
Estados Unidos;128.745;132.786;1984;Importacao;Uvas_passas
França;-;-;1984;Importacao;Uvas_passas
Grécia;-;-;1984;Importacao;Uvas_passas
Guiana Britânica;-;-;1984;Importacao;Uvas_passas
Índia;-;-;1984;Importacao;Uvas_passas
Irã;-;-;1984;Importacao;Uvas_passas
Itália;-;-;1984;Importacao;Uvas_passas
Japão;-;-;1984;Importacao;Uvas_passas
México;520.390;578.989;1984;Importacao;Uvas_passas
Países Baixos;-;-;1984;Importacao;Uvas_passas
Paraguai;-;-;1984;Importacao;Uvas_passas
Peru;-;-;1984;Importacao;Uvas_passas
Portugal;-;-;1984;Importacao;Uvas_passas
Reino Unido;-;-;1984;Importacao;Uvas_passas
Suécia;-;-;1984;Importacao;Uvas_passas
Turquia;85.288;65.951;1984;Importacao;Uvas_passas
Uruguai;-;-;1984;Importacao;Uvas_passas
Uzbequistão;-;-;1984;Importacao;Uvas_passas
Venezuela;-;-;1984;Importacao;Uvas_passas
Não consta na tabela;-;-;1984;Importacao;Uvas_passas
Outros;-;-;1984;Importacao;Uvas_passas
Total;3.497.468;3.456.028;1984;Importacao;Uvas_passas
Africa do Sul;-;-;1984;Importacao;Suco_de_uva
Alemanha;-;-;1984;Importacao;Suco_de_uva
Argentina;-;-;1984;Importacao;Suco_de_uva
Austria;-;-;1984;Importacao;Suco_de_uva
Canadá;-;-;1984;Importacao;Suco_de_uva
Coreia do Sul, República;-;-;1984;Importacao;Suco_de_uva
Coreia do Norte, República;-;-;1984;Importacao;Suco_de_uva
Chile;-;-;1984;Importacao;Suco_de_uva
China;-;-;1984;Importacao;Suco_de_uva
Dinamarca;-;-;1984;Importacao;Suco_de_uva
Espanha;-;-;1984;Importacao;Suco_de_uva
Estados Unidos;-;-;1984;Importacao;Suco_de_uva
França;-;-;1984;Importacao;Suco_de_uva
Guiana;-;-;1984;Importacao;Suco_de_uva
Israel;-;-;1984;Importacao;Suco_de_uva
itália;-;-;1984;Importacao;Suco_de_uva
Japão;-;-;1984;Importacao;Suco_de_uva
Líbano;-;-;1984;Importacao;Suco_de_uva
México;-;-;1984;Importacao;Suco_de_uva
Países Baixos;-;-;1984;Importacao;Suco_de_uva
Panamá;-;-;1984;Importacao;Suco_de_uva
Peru;-;-;1984;Importacao;Suco_de_uva
Portugal;-;-;1984;Importacao;Suco_de_uva
Reino Unido;-;-;1984;Importacao;Suco_de_uva
Taiwan;-;-;1984;Importacao;Suco_de_uva
Turquia;-;-;1984;Importacao;Suco_de_uva
Uruguai;-;-;1984;Importacao;Suco_de_uva
Venezuela;-;-;1984;Importacao;Suco_de_uva
Outros;-;-;1984;Importacao;Suco_de_uva
Total;0;0;1984;Importacao;Suco_de_uva
Africa do Sul;-;-;1985;Importacao;Vinhos_de_Mesa
Alemanha;1.069.717;1.122.438;1985;Importacao;Vinhos_de_Mesa
Argélia;-;-;1985;Importacao;Vinhos_de_Mesa
Arábia Saudita;-;-;1985;Importacao;Vinhos_de_Mesa
Argentina;114.570;164.424;1985;Importacao;Vinhos_de_Mesa
Armênia;-;-;1985;Importacao;Vinhos_de_Mesa
Austrália;-;-;1985;Importacao;Vinhos_de_Mesa
Áustria;11.830;5.016;1985;Importacao;Vinhos_de_Mesa
Bermudas;-;-;1985;Importacao;Vinhos_de_Mesa
Bélgica;-;-;1985;Importacao;Vinhos_de_Mesa
Bolívia;-;-;1985;Importacao;Vinhos_de_Mesa
Bósnia-Herzegovina;-;-;1985;Importacao;Vinhos_de_Mesa
Brasil;-;-;1985;Importacao;Vinhos_de_Mesa
Bulgária;-;-;1985;Importacao;Vinhos_de_Mesa
Canada;-;-;1985;Importacao;Vinhos_de_Mesa
Chile;1.114.665;1.195.151;1985;Importacao;Vinhos_de_Mesa
China;-;-;1985;Importacao;Vinhos_de_Mesa
Coreia do Sul, República;-;-;1985;Importacao;Vinhos_de_Mesa
Croácia;-;-;1985;Importacao;Vinhos_de_Mesa
Cuba;-;-;1985;Importacao;Vinhos_de_Mesa
Emirados Árabes Unidos;-;-;1985;Importacao;Vinhos_de_Mesa
Eslovênia;-;-;1985;Importacao;Vinhos_de_Mesa
Eslováquia;-;-;1985;Importacao;Vinhos_de_Mesa
Espanha;61.924;59.833;1985;Importacao;Vinhos_de_Mesa
Estados Unidos;11.025;15.805;1985;Importacao;Vinhos_de_Mesa
França;540.136;735.516;1985;Importacao;Vinhos_de_Mesa
Geórgia;-;-;1985;Importacao;Vinhos_de_Mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1985;Importacao;Vinhos_de_Mesa
Grécia;-;-;1985;Importacao;Vinhos_de_Mesa
Hong Kong;-;-;1985;Importacao;Vinhos_de_Mesa
Hungria;-;-;1985;Importacao;Vinhos_de_Mesa
Indonésia;-;-;1985;Importacao;Vinhos_de_Mesa
Irlanda;-;-;1985;Importacao;Vinhos_de_Mesa
Israel;-;-;1985;Importacao;Vinhos_de_Mesa
Itália;327.976;385.365;1985;Importacao;Vinhos_de_Mesa
Japão;-;-;1985;Importacao;Vinhos_de_Mesa
Iugoslávia;14.238;11.619;1985;Importacao;Vinhos_de_Mesa
Líbano;-;-;1985;Importacao;Vinhos_de_Mesa
Luxemburgo;-;-;1985;Importacao;Vinhos_de_Mesa
Macedônia;-;-;1985;Importacao;Vinhos_de_Mesa
Marrocos;-;-;1985;Importacao;Vinhos_de_Mesa
México;-;-;1985;Importacao;Vinhos_de_Mesa
Moldávia;-;-;1985;Importacao;Vinhos_de_Mesa
Montenegro;-;-;1985;Importacao;Vinhos_de_Mesa
Noruega;-;-;1985;Importacao;Vinhos_de_Mesa
Nova Zelândia;-;-;1985;Importacao;Vinhos_de_Mesa
Países Baixos (Holanda);-;-;1985;Importacao;Vinhos_de_Mesa
Panamá;-;-;1985;Importacao;Vinhos_de_Mesa
Peru;-;-;1985;Importacao;Vinhos_de_Mesa
Porto Rico;-;-;1985;Importacao;Vinhos_de_Mesa
Portugal;1.484.998;1.406.897;1985;Importacao;Vinhos_de_Mesa
Reino Unido;-;-;1985;Importacao;Vinhos_de_Mesa
Republica Dominicana;-;-;1985;Importacao;Vinhos_de_Mesa
Romênia;-;-;1985;Importacao;Vinhos_de_Mesa
Rússia;-;-;1985;Importacao;Vinhos_de_Mesa
San Marino;-;-;1985;Importacao;Vinhos_de_Mesa
Sérvia;-;-;1985;Importacao;Vinhos_de_Mesa
Síria;-;-;1985;Importacao;Vinhos_de_Mesa
Suazilândia;-;-;1985;Importacao;Vinhos_de_Mesa
Suíça;-;-;1985;Importacao;Vinhos_de_Mesa
Tcheca, República;-;-;1985;Importacao;Vinhos_de_Mesa
Tunísia;-;-;1985;Importacao;Vinhos_de_Mesa
Turquia;-;-;1985;Importacao;Vinhos_de_Mesa
Ucrânia;-;-;1985;Importacao;Vinhos_de_Mesa
Uruguai;-;-;1985;Importacao;Vinhos_de_Mesa
Não consta na tabela;-;-;1985;Importacao;Vinhos_de_Mesa
Não declarados;-;-;1985;Importacao;Vinhos_de_Mesa
Outros;5.400;12.812;1985;Importacao;Vinhos_de_Mesa
Total;4.756.479;5.114.876;1985;Importacao;Vinhos_de_Mesa
Africa do Sul;-;-;1985;Importacao;Espumantes
Alemanha;-;-;1985;Importacao;Espumantes
Argentina;-;-;1985;Importacao;Espumantes
Austrália;-;-;1985;Importacao;Espumantes
Áustria;-;-;1985;Importacao;Espumantes
Bermudas;-;-;1985;Importacao;Espumantes
Bahamas;-;-;1985;Importacao;Espumantes
Bélgica;-;-;1985;Importacao;Espumantes
Brasil;-;-;1985;Importacao;Espumantes
Bulgária;-;-;1985;Importacao;Espumantes
Canada;-;-;1985;Importacao;Espumantes
Chile;-;-;1985;Importacao;Espumantes
Croácia;-;-;1985;Importacao;Espumantes
Cuba;-;-;1985;Importacao;Espumantes
Emirados Árabes Unidos;-;-;1985;Importacao;Espumantes
Eslovênia;-;-;1985;Importacao;Espumantes
Espanha;19.005;29.323;1985;Importacao;Espumantes
Estados Unidos;-;-;1985;Importacao;Espumantes
França;35.317;118.807;1985;Importacao;Espumantes
Geórgia;-;-;1985;Importacao;Espumantes
Granada;-;-;1985;Importacao;Espumantes
Grécia;-;-;1985;Importacao;Espumantes
Hong Kong;-;-;1985;Importacao;Espumantes
Hungria;-;-;1985;Importacao;Espumantes
Indonésia;-;-;1985;Importacao;Espumantes
Irlanda;-;-;1985;Importacao;Espumantes
Israel;-;-;1985;Importacao;Espumantes
Itália;12.456;15.821;1985;Importacao;Espumantes
Luxemburgo;-;-;1985;Importacao;Espumantes
México;-;-;1985;Importacao;Espumantes
Moldávia;-;-;1985;Importacao;Espumantes
Nova Zelândia;-;-;1985;Importacao;Espumantes
Países Baixos;-;-;1985;Importacao;Espumantes
Panamá;-;-;1985;Importacao;Espumantes
Peru;-;-;1985;Importacao;Espumantes
Portugal;245.613;247.970;1985;Importacao;Espumantes
Reino Unido;-;-;1985;Importacao;Espumantes
Romênia;-;-;1985;Importacao;Espumantes
Suíça;-;-;1985;Importacao;Espumantes
Tunísia;-;-;1985;Importacao;Espumantes
Ucrânia;-;-;1985;Importacao;Espumantes
Uruguai;-;-;1985;Importacao;Espumantes
Não consta na tabela;-;-;1985;Importacao;Espumantes
Não declarados;-;-;1985;Importacao;Espumantes
Outros;450;700;1985;Importacao;Espumantes
Total;312.841;412.621;1985;Importacao;Espumantes
Argélia;-;-;1985;Importacao;Uvas_Frescas
Argentina;208.150;125.910;1985;Importacao;Uvas_Frescas
Brasil;-;-;1985;Importacao;Uvas_Frescas
Chile;598.037;424.806;1985;Importacao;Uvas_Frescas
Colômbia;-;-;1985;Importacao;Uvas_Frescas
Egito;-;-;1985;Importacao;Uvas_Frescas
Espanha;-;-;1985;Importacao;Uvas_Frescas
Estados Unidos;5.400;9.045;1985;Importacao;Uvas_Frescas
Grécia;-;-;1985;Importacao;Uvas_Frescas
Itália;-;-;1985;Importacao;Uvas_Frescas
México;-;-;1985;Importacao;Uvas_Frescas
Peru;-;-;1985;Importacao;Uvas_Frescas
Paraguai;-;-;1985;Importacao;Uvas_Frescas
Portugal;-;-;1985;Importacao;Uvas_Frescas
Panamá;-;-;1985;Importacao;Uvas_Frescas
Reino Unido;-;-;1985;Importacao;Uvas_Frescas
Uruguai;-;-;1985;Importacao;Uvas_Frescas
Venezuela;-;-;1985;Importacao;Uvas_Frescas
Não consta na tabela;-;-;1985;Importacao;Uvas_Frescas
Outros;-;-;1985;Importacao;Uvas_Frescas
Total;811.587;559.761;1985;Importacao;Uvas_Frescas
Afeganistão;-;-;1985;Importacao;Uvas_passas
África do Sul;-;-;1985;Importacao;Uvas_passas
Alemanha, República Democrática;-;-;1985;Importacao;Uvas_passas
Arábia Saudita;-;-;1985;Importacao;Uvas_passas
Argentina;1.519.220;1.420.332;1985;Importacao;Uvas_passas
Austrália;-;-;1985;Importacao;Uvas_passas
Bélgica;-;-;1985;Importacao;Uvas_passas
Chile;1.730.970;1.608.648;1985;Importacao;Uvas_passas
China;-;-;1985;Importacao;Uvas_passas
China Continental;-;-;1985;Importacao;Uvas_passas
Cingapura;-;-;1985;Importacao;Uvas_passas
Costa Rica;-;-;1985;Importacao;Uvas_passas
Emirados;-;-;1985;Importacao;Uvas_passas
Espanha;-;-;1985;Importacao;Uvas_passas
Estados Unidos;157.087;165.238;1985;Importacao;Uvas_passas
França;-;-;1985;Importacao;Uvas_passas
Grécia;-;-;1985;Importacao;Uvas_passas
Guiana Britânica;-;-;1985;Importacao;Uvas_passas
Índia;-;-;1985;Importacao;Uvas_passas
Irã;-;-;1985;Importacao;Uvas_passas
Itália;-;-;1985;Importacao;Uvas_passas
Japão;-;-;1985;Importacao;Uvas_passas
México;1.194.306;1.202.597;1985;Importacao;Uvas_passas
Países Baixos;-;-;1985;Importacao;Uvas_passas
Paraguai;-;-;1985;Importacao;Uvas_passas
Peru;-;-;1985;Importacao;Uvas_passas
Portugal;-;-;1985;Importacao;Uvas_passas
Reino Unido;-;-;1985;Importacao;Uvas_passas
Suécia;-;-;1985;Importacao;Uvas_passas
Turquia;60.120;48.212;1985;Importacao;Uvas_passas
Uruguai;-;-;1985;Importacao;Uvas_passas
Uzbequistão;-;-;1985;Importacao;Uvas_passas
Venezuela;-;-;1985;Importacao;Uvas_passas
Não consta na tabela;-;-;1985;Importacao;Uvas_passas
Outros;-;-;1985;Importacao;Uvas_passas
Total;4.661.703;4.445.027;1985;Importacao;Uvas_passas
Africa do Sul;-;-;1985;Importacao;Suco_de_uva
Alemanha;-;-;1985;Importacao;Suco_de_uva
Argentina;-;-;1985;Importacao;Suco_de_uva
Austria;-;-;1985;Importacao;Suco_de_uva
Canadá;-;-;1985;Importacao;Suco_de_uva
Coreia do Sul, República;-;-;1985;Importacao;Suco_de_uva
Coreia do Norte, República;-;-;1985;Importacao;Suco_de_uva
Chile;-;-;1985;Importacao;Suco_de_uva
China;-;-;1985;Importacao;Suco_de_uva
Dinamarca;-;-;1985;Importacao;Suco_de_uva
Espanha;-;-;1985;Importacao;Suco_de_uva
Estados Unidos;-;-;1985;Importacao;Suco_de_uva
França;-;-;1985;Importacao;Suco_de_uva
Guiana;-;-;1985;Importacao;Suco_de_uva
Israel;-;-;1985;Importacao;Suco_de_uva
itália;-;-;1985;Importacao;Suco_de_uva
Japão;-;-;1985;Importacao;Suco_de_uva
Líbano;-;-;1985;Importacao;Suco_de_uva
México;-;-;1985;Importacao;Suco_de_uva
Países Baixos;-;-;1985;Importacao;Suco_de_uva
Panamá;-;-;1985;Importacao;Suco_de_uva
Peru;-;-;1985;Importacao;Suco_de_uva
Portugal;-;-;1985;Importacao;Suco_de_uva
Reino Unido;-;-;1985;Importacao;Suco_de_uva
Taiwan;-;-;1985;Importacao;Suco_de_uva
Turquia;-;-;1985;Importacao;Suco_de_uva
Uruguai;-;-;1985;Importacao;Suco_de_uva
Venezuela;-;-;1985;Importacao;Suco_de_uva
Outros;-;-;1985;Importacao;Suco_de_uva
Total;0;0;1985;Importacao;Suco_de_uva
Africa do Sul;-;-;1986;Importacao;Vinhos_de_Mesa
Alemanha;2.357.113;3.008.737;1986;Importacao;Vinhos_de_Mesa
Argélia;-;-;1986;Importacao;Vinhos_de_Mesa
Arábia Saudita;-;-;1986;Importacao;Vinhos_de_Mesa
Argentina;170.413;242.678;1986;Importacao;Vinhos_de_Mesa
Armênia;-;-;1986;Importacao;Vinhos_de_Mesa
Austrália;-;-;1986;Importacao;Vinhos_de_Mesa
Áustria;1.740;3.508;1986;Importacao;Vinhos_de_Mesa
Bermudas;-;-;1986;Importacao;Vinhos_de_Mesa
Bélgica;-;-;1986;Importacao;Vinhos_de_Mesa
Bolívia;-;-;1986;Importacao;Vinhos_de_Mesa
Bósnia-Herzegovina;-;-;1986;Importacao;Vinhos_de_Mesa
Brasil;-;-;1986;Importacao;Vinhos_de_Mesa
Bulgária;-;-;1986;Importacao;Vinhos_de_Mesa
Canada;-;-;1986;Importacao;Vinhos_de_Mesa
Chile;1.347.894;1.416.109;1986;Importacao;Vinhos_de_Mesa
China;-;-;1986;Importacao;Vinhos_de_Mesa
Coreia do Sul, República;-;-;1986;Importacao;Vinhos_de_Mesa
Croácia;-;-;1986;Importacao;Vinhos_de_Mesa
Cuba;-;-;1986;Importacao;Vinhos_de_Mesa
Emirados Árabes Unidos;-;-;1986;Importacao;Vinhos_de_Mesa
Eslovênia;-;-;1986;Importacao;Vinhos_de_Mesa
Eslováquia;-;-;1986;Importacao;Vinhos_de_Mesa
Espanha;52.429;61.130;1986;Importacao;Vinhos_de_Mesa
Estados Unidos;5.796;9.218;1986;Importacao;Vinhos_de_Mesa
França;625.421;980.754;1986;Importacao;Vinhos_de_Mesa
Geórgia;-;-;1986;Importacao;Vinhos_de_Mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1986;Importacao;Vinhos_de_Mesa
Grécia;-;-;1986;Importacao;Vinhos_de_Mesa
Hong Kong;-;-;1986;Importacao;Vinhos_de_Mesa
Hungria;-;-;1986;Importacao;Vinhos_de_Mesa
Indonésia;-;-;1986;Importacao;Vinhos_de_Mesa
Irlanda;-;-;1986;Importacao;Vinhos_de_Mesa
Israel;-;-;1986;Importacao;Vinhos_de_Mesa
Itália;430.029;601.494;1986;Importacao;Vinhos_de_Mesa
Japão;-;-;1986;Importacao;Vinhos_de_Mesa
Iugoslávia;-;-;1986;Importacao;Vinhos_de_Mesa
Líbano;-;-;1986;Importacao;Vinhos_de_Mesa
Luxemburgo;-;-;1986;Importacao;Vinhos_de_Mesa
Macedônia;-;-;1986;Importacao;Vinhos_de_Mesa
Marrocos;-;-;1986;Importacao;Vinhos_de_Mesa
México;-;-;1986;Importacao;Vinhos_de_Mesa
